Subject Name	Subject ID	Min X	PZX	P25 X	P50 X	P75 X	P90 X	P99 X	Max X	Min Y	PZY	P25 Y	P50 Y	P75 Y	P90 Y	P99 Y	Max Y	X4	X3	X2	X1	X0
Modern Greek	145	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polish	146	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Punjabi	147	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russian	148	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamil	149	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vietnamese	98	13.05	41.52	70	78	86	92	98	100.0	0	37.25	73.42	80.33	85.8	89.01	91.57	92.42	1.861175050256411e-06	-0.0005354387301504402	0.04526429690836327	-0.050054473984109116	-5.919538336658825
Agricultural Practices	5	10	0	0	0	0	0	0	0	0	0	0	6.94	18.12	39.66	0	0	0	0	0	0	0
Aquatic Practices	8	10	0	0	0	0	0	0	0	0	0	0	7.83	20.7	44.51	0	0	0	0	0	0	0
Arts in Practice	9	10	0	0	0	0	0	0	0	0	0	0	10.87	26.65	51.96	0	0	0	0	0	0	0
Building and Construction Skills	11	10	0	0	0	0	0	0	0	0	0	0	6.84	17.78	38.91	0	0	0	0	0	0	0
Business Studies	13	10	0	0	0	0	0	0	0	0	0	0	9.28	23.09	46.82	0	0	0	0	0	0	0
Dance in Practice	19	10	0	0	0	0	0	0	0	0	0	0	8.36	21.23	44.33	0	0	0	0	0	0	0
Drama in Practice	23	10	0	0	0	0	0	0	0	0	0	0	7.17	21.62	49.61	0	0	0	0	0	0	0
Early Childhood Studies	24	10	0	0	0	0	0	0	0	0	0	0	9.42	21.99	43.29	0	0	0	0	0	0	0
Engineering Skills	28	10	0	0	0	0	0	0	0	0	0	0	7.77	19.51	41.08	0	0	0	0	0	0	0
Essential English	32	10	0	0	0	0	0	0	0	0	0	0	8.53	19.59	38.9	0	0	0	0	0	0	0
Essential Mathematics	33	10	0	0	0	0	0	0	0	0	0	0	10.52	22.34	41.3	0	0	0	0	0	0	0
Fashion	34	10	0	0	0	0	0	0	0	0	0	0	17.03	37.58	63.83	0	0	0	0	0	0	0
Furnishing Skills	39	10	0	0	0	0	0	0	0	0	0	0	8.13	21.25	45.15	0	0	0	0	0	0	0
Hospitality Practices	45	10	0	0	0	0	0	0	0	0	0	0	11.38	25.97	48.93	0	0	0	0	0	0	0
Industrial Graphics Skills	46	10	0	0	0	0	0	0	0	0	0	0	10.92	25.72	49.42	0	0	0	0	0	0	0
Industrial Technology Skills	47	10	0	0	0	0	0	0	0	0	0	0	11.38	26.5	50.29	0	0	0	0	0	0	0
Information and Communication Technology	48	10	0	0	0	0	0	0	0	0	0	0	10.9	28.0	55.28	0	0	0	0	0	0	0
Media Arts in Practice	56	10	0	0	0	0	0	0	0	0	0	0	10.73	26.67	52.4	0	0	0	0	0	0	0
Music in Practice	62	10	0	0	0	0	0	0	0	0	0	0	8.79	21.76	44.52	0	0	0	0	0	0	0
Religion and Ethics	68	10	0	0	0	0	0	0	0	0	0	0	44.01	44.01	72.49	0	0	0	0	0	0	0
Science in Practice	69	10	0	0	0	0	0	0	0	0	0	0	7.59	20.4	44.42	0	0	0	0	0	0	0
