Aggregate,ATAR
374.17,80.05
373.9,80.0
373.62,79.95
373.34,79.9
373.06,79.85
372.78,79.8
372.51,79.75
372.23,79.7
371.95,79.65
371.67,79.6
371.39,79.55
371.1,79.5
370.81,79.45
370.51,79.4
370.22,79.35
369.96,79.3
369.69,79.25
369.4,79.2
369.12,79.15
368.86,79.1
368.59,79.05
368.31,79.0
368.03,78.95
367.75,78.9
367.46,78.85
367.18,78.8
366.89,78.75
366.6,78.7
366.31,78.65
366.03,78.6
365.75,78.55
365.47,78.5
365.19,78.45
364.92,78.4
364.65,78.35
364.39,78.3
364.12,78.25
363.86,78.2
363.59,78.15
363.31,78.1
363.03,78.05
362.73,78.0
362.42,77.95
362.12,77.9
361.85,77.85
361.57,77.8
361.3,77.75
361.02,77.7
360.75,77.65
360.47,77.6
360.19,77.55
359.91,77.5
359.63,77.45
359.35,77.4
359.06,77.35
358.78,77.3
358.5,77.25
358.22,77.2
357.95,77.15
357.69,77.1
357.42,77.05
357.14,77.0
356.86,76.95
356.58,76.9
356.3,76.85
356.03,76.8
355.75,76.75
355.48,76.7
355.21,76.65
354.94,76.6
354.66,76.55
354.37,76.5
354.09,76.45
353.8,76.4
353.52,76.35
353.24,76.3
352.97,76.25
352.7,76.2
352.43,76.15
352.16,76.1
351.89,76.05
351.61,76.0
351.34,75.95
351.07,75.9
350.8,75.85
350.52,75.8
350.24,75.75
349.96,75.7
349.69,75.65
349.42,75.6
349.17,75.55
348.92,75.5
348.65,75.45
348.37,75.4
348.1,75.35
347.83,75.3
347.56,75.25
347.29,75.2
347.03,75.15
346.76,75.1
346.48,75.05
346.2,75.0
345.93,74.95
345.66,74.9
345.38,74.85
345.11,74.8
344.83,74.75
344.56,74.7
344.3,74.65
344.04,74.6
343.78,74.55
343.53,74.5
343.27,74.45
343.02,74.4
342.76,74.35
342.5,74.3
342.24,74.25
341.98,74.2
341.71,74.15
341.44,74.1
341.18,74.05
340.91,74.0
340.64,73.95
340.37,73.9
340.1,73.85
339.84,73.8
339.57,73.75
339.3,73.7
339.03,73.65
338.77,73.6
338.5,73.55
338.24,73.5
337.98,73.45
337.72,73.4
337.46,73.35
337.2,73.3
336.94,73.25
336.68,73.2
336.43,73.15
336.2,73.1
335.93,73.05
335.65,73.0
335.39,72.95
335.13,72.9
334.89,72.85
334.64,72.8
334.4,72.75
334.15,72.7
333.9,72.65
333.64,72.6
333.38,72.55
333.13,72.5
332.87,72.45
332.61,72.4
332.35,72.35
332.09,72.3
331.84,72.25
331.59,72.2
331.34,72.15
331.09,72.1
330.84,72.05
330.59,72.0
330.32,71.95
330.06,71.9
329.8,71.85
329.56,71.8
329.33,71.75
329.08,71.7
328.82,71.65
328.55,71.6
328.31,71.55
328.09,71.5
327.83,71.45
327.56,71.4
327.3,71.35
327.05,71.3
326.82,71.25
326.59,71.2
326.35,71.15
326.08,71.1
325.82,71.05
325.57,71.0
325.33,70.95
325.09,70.9
324.84,70.85
324.6,70.8
324.35,70.75
324.11,70.7
323.87,70.65
323.62,70.6
323.38,70.55
323.13,70.5
322.89,70.45
322.65,70.4
322.4,70.35
322.16,70.3
321.92,70.25
321.67,70.2
321.43,70.15
321.19,70.1
320.94,70.05
320.7,70.0
320.45,69.95
320.21,69.9
319.97,69.85
319.72,69.8
319.49,69.75
319.25,69.7
319.02,69.65
318.79,69.6
318.56,69.55
318.32,69.5
318.08,69.45
317.85,69.4
317.61,69.35
317.38,69.3
317.15,69.25
316.91,69.2
316.68,69.15
316.45,69.1
316.22,69.05
315.98,69.0
315.75,68.95
315.52,68.9
315.29,68.85
315.05,68.8
314.82,68.75
314.58,68.7
314.35,68.65
314.11,68.6
313.88,68.55
313.64,68.5
313.4,68.45
313.16,68.4
312.92,68.35
312.67,68.3
312.43,68.25
312.18,68.2
311.93,68.15
311.68,68.1
311.43,68.05
311.17,68.0
310.93,67.95
310.69,67.9
310.46,67.85
310.23,67.8
310.0,67.75
309.78,67.7
309.55,67.65
309.33,67.6
309.1,67.55
308.86,67.5
308.63,67.45
308.38,67.4
308.14,67.35
307.9,67.3
307.68,67.25
307.46,67.2
307.24,67.15
307.02,67.1
306.79,67.05
306.55,67.0
306.29,66.95
306.05,66.9
305.82,66.85
305.61,66.8
305.4,66.75
305.17,66.7
304.95,66.65
304.72,66.6
304.49,66.55
304.25,66.5
304.02,66.45
303.78,66.4
303.55,66.35
303.31,66.3
303.08,66.25
302.85,66.2
302.61,66.15
302.39,66.1
302.16,66.05
301.94,66.0
301.72,65.95
301.51,65.9
301.29,65.85
301.05,65.8
300.81,65.75
300.57,65.7
300.34,65.65
300.1,65.6
299.87,65.55
299.64,65.5
299.41,65.45
299.19,65.4
298.97,65.35
298.75,65.3
298.55,65.25
298.34,65.2
298.13,65.15
297.91,65.1
297.68,65.05
297.46,65.0
297.22,64.95
296.99,64.9
296.76,64.85
296.53,64.8
296.3,64.75
296.07,64.7
295.85,64.65
295.62,64.6
295.4,64.55
295.18,64.5
294.96,64.45
294.74,64.4
294.51,64.35
294.29,64.3
294.07,64.25
293.85,64.2
293.63,64.15
293.41,64.1
293.18,64.05
292.96,64.0
292.74,63.95
292.52,63.9
292.3,63.85
292.07,63.8
291.85,63.75
291.63,63.7
291.41,63.65
291.19,63.6
290.97,63.55
290.75,63.5
290.54,63.45
290.33,63.4
290.11,63.35
289.88,63.3
289.65,63.25
289.44,63.2
289.23,63.15
289.01,63.1
288.79,63.05
288.56,63.0
288.34,62.95
288.12,62.9
287.9,62.85
287.68,62.8
287.46,62.75
287.24,62.7
287.03,62.65
286.82,62.6
286.63,62.55
286.41,62.5
286.18,62.45
285.95,62.4
285.73,62.35
285.52,62.3
285.32,62.25
285.1,62.2
284.88,62.15
284.67,62.1
284.46,62.05
284.25,62.0
284.05,61.95
283.83,61.9
283.62,61.85
283.4,61.8
283.18,61.75
282.96,61.7
282.74,61.65
282.53,61.6
282.32,61.55
282.13,61.5
281.93,61.45
281.72,61.4
281.51,61.35
281.29,61.3
281.07,61.25
280.86,61.2
280.64,61.15
280.42,61.1
280.21,61.05
280.01,61.0
279.8,60.95
279.6,60.9
279.4,60.85
279.19,60.8
278.98,60.75
278.77,60.7
278.56,60.65
278.34,60.6
278.13,60.55
277.91,60.5
277.7,60.45
277.49,60.4
277.28,60.35
277.07,60.3
276.87,60.25
276.66,60.2
276.46,60.15
276.25,60.1
276.05,60.05
275.85,60.0
275.64,59.95
275.44,59.9
275.24,59.85
275.04,59.8
274.84,59.75
274.63,59.7
274.43,59.65
274.23,59.6
274.03,59.55
273.83,59.5
273.63,59.45
273.41,59.4
273.19,59.35
272.97,59.3
272.76,59.25
272.56,59.2
272.36,59.15
272.16,59.1
271.97,59.05
271.77,59.0
271.58,58.95
271.39,58.9
271.2,58.85
271.01,58.8
270.81,58.75
270.62,58.7
270.42,58.65
270.21,58.6
270.0,58.55
269.8,58.5
269.59,58.45
269.39,58.4
269.19,58.35
268.99,58.3
268.79,58.25
268.59,58.2
268.4,58.15
268.2,58.1
268.01,58.05
267.81,58.0
267.62,57.95
267.43,57.9
267.24,57.85
267.05,57.8
266.86,57.75
266.67,57.7
266.48,57.65
266.29,57.6
266.1,57.55
265.91,57.5
265.72,57.45
265.53,57.4
265.34,57.35
265.15,57.3
264.96,57.25
264.77,57.2
264.58,57.15
264.38,57.1
264.19,57.05
264.0,57.0
263.81,56.95
263.62,56.9
263.43,56.85
263.24,56.8
263.05,56.75
262.86,56.7
262.67,56.65
262.48,56.6
262.3,56.55
262.11,56.5
261.92,56.45
261.73,56.4
261.54,56.35
261.35,56.3
261.16,56.25
260.98,56.2
260.79,56.15
260.6,56.1
260.41,56.05
260.23,56.0
260.04,55.95
259.85,55.9
259.67,55.85
259.48,55.8
259.3,55.75
259.12,55.7
258.94,55.65
258.75,55.6
258.57,55.55
258.39,55.5
258.2,55.45
258.02,55.4
257.83,55.35
257.65,55.3
257.47,55.25
257.29,55.2
257.1,55.15
