ATAR,Aggregate
49.95,234.36
50.0,234.54
50.05,234.73
50.1,234.91
50.15,235.1
50.2,235.28
50.25,235.47
50.3,235.66
50.35,235.85
50.4,236.05
50.45,236.24
50.5,236.44
50.55,236.64
50.6,236.84
50.65,237.04
50.7,237.25
50.75,237.46
50.8,237.67
50.85,237.88
50.9,238.1
50.95,238.33
51.0,238.59
51.05,238.85
51.1,239.1
51.15,239.35
51.2,239.58
51.25,239.79
51.3,239.99
51.35,240.19
51.4,240.39
51.45,240.57
51.5,240.76
51.55,240.93
51.6,241.09
51.65,241.25
51.7,241.39
51.75,241.53
51.8,241.67
51.85,241.8
51.9,241.93
51.95,242.07
52.0,242.22
52.05,242.38
52.1,242.57
52.15,242.78
52.2,243.01
52.25,243.26
52.3,243.51
52.35,243.77
52.4,244.02
52.45,244.25
52.5,244.47
52.55,244.65
52.6,244.82
52.65,244.99
52.7,245.14
52.75,245.3
52.8,245.44
52.85,245.59
52.9,245.74
52.95,245.89
53.0,246.04
53.05,246.19
53.1,246.36
53.15,246.53
53.2,246.7
53.25,246.88
53.3,247.06
53.35,247.24
53.4,247.43
53.45,247.62
53.5,247.81
53.55,248.01
53.6,248.21
53.65,248.41
53.7,248.61
53.75,248.82
53.8,249.03
53.85,249.24
53.9,249.45
53.95,249.66
54.0,249.87
54.05,250.08
54.1,250.3
54.15,250.51
54.2,250.72
54.25,250.94
54.3,251.15
54.35,251.37
54.4,251.58
54.45,251.79
54.5,252.01
54.55,252.22
54.6,252.43
54.65,252.64
54.7,252.84
54.75,253.05
54.8,253.25
54.85,253.45
54.9,253.65
54.95,253.85
55.0,254.05
55.05,254.24
55.1,254.44
55.15,254.64
55.2,254.83
55.25,255.03
55.3,255.23
55.35,255.42
55.4,255.62
55.45,255.82
55.5,256.01
55.55,256.21
55.6,256.4
55.65,256.59
55.7,256.79
55.75,256.98
55.8,257.17
55.85,257.37
55.9,257.56
55.95,257.75
56.0,257.95
56.05,258.14
56.1,258.34
56.15,258.53
56.2,258.72
56.25,258.91
56.3,259.11
56.35,259.3
56.4,259.49
56.45,259.68
56.5,259.87
56.55,260.06
56.6,260.25
56.65,260.44
56.7,260.63
56.75,260.82
56.8,261.0
56.85,261.19
56.9,261.38
56.95,261.57
57.0,261.76
57.05,261.94
57.1,262.13
57.15,262.32
57.2,262.51
57.25,262.7
57.3,262.89
57.35,263.07
57.4,263.26
57.45,263.45
57.5,263.64
57.55,263.83
57.6,264.02
57.65,264.21
57.7,264.4
57.75,264.59
57.8,264.78
57.85,264.97
57.9,265.17
57.95,265.36
58.0,265.55
58.05,265.75
58.1,265.95
58.15,266.15
58.2,266.35
58.25,266.57
58.3,266.77
58.35,266.98
58.4,267.19
58.45,267.41
58.5,267.63
58.55,267.86
58.6,268.09
58.65,268.33
58.7,268.56
58.75,268.79
58.8,269.03
58.85,269.26
58.9,269.5
58.95,269.73
59.0,269.96
59.05,270.19
59.1,270.42
59.15,270.65
59.2,270.87
59.25,271.1
59.3,271.32
59.35,271.54
59.4,271.77
59.45,271.98
59.5,272.17
59.55,272.36
59.6,272.54
59.65,272.71
59.7,272.87
59.75,273.03
59.8,273.19
59.85,273.35
59.9,273.51
59.95,273.68
60.0,273.85
60.05,274.03
60.1,274.22
60.15,274.41
60.2,274.61
60.25,274.82
60.3,275.03
60.35,275.25
60.4,275.47
60.45,275.69
60.5,275.91
60.55,276.14
60.6,276.36
60.65,276.59
60.7,276.81
60.75,277.03
60.8,277.24
60.85,277.45
60.9,277.66
60.95,277.86
61.0,278.07
61.05,278.27
61.1,278.48
61.15,278.69
61.2,278.91
61.25,279.12
61.3,279.33
61.35,279.55
61.4,279.76
61.45,279.97
61.5,280.18
61.55,280.38
61.6,280.59
61.65,280.81
61.7,281.03
61.75,281.26
61.8,281.49
61.85,281.72
61.9,281.96
61.95,282.19
62.0,282.43
62.05,282.68
62.1,282.94
62.15,283.22
62.2,283.49
62.25,283.77
62.3,284.03
62.35,284.28
62.4,284.52
62.45,284.75
62.5,284.96
62.55,285.15
62.6,285.32
62.65,285.5
62.7,285.67
62.75,285.85
62.8,286.02
62.85,286.2
62.9,286.38
62.95,286.57
63.0,286.77
63.05,286.97
63.1,287.18
63.15,287.4
63.2,287.61
63.25,287.83
63.3,288.06
63.35,288.3
63.4,288.52
63.45,288.75
63.5,288.98
63.55,289.2
63.6,289.43
63.65,289.65
63.7,289.87
63.75,290.09
63.8,290.3
63.85,290.52
63.9,290.73
63.95,290.94
64.0,291.16
64.05,291.37
64.1,291.59
64.15,291.8
64.2,292.02
64.25,292.24
64.3,292.46
64.35,292.68
64.4,292.91
64.45,293.14
64.5,293.37
64.55,293.61
64.6,293.85
64.65,294.1
64.7,294.36
64.75,294.65
64.8,294.95
64.85,295.26
64.9,295.57
64.95,295.86
65.0,296.13
65.05,296.38
65.1,296.62
65.15,296.85
65.2,297.08
65.25,297.3
65.3,297.52
65.35,297.73
65.4,297.95
65.45,298.17
65.5,298.39
65.55,298.6
65.6,298.82
65.65,299.03
65.7,299.25
65.75,299.46
65.8,299.68
65.85,299.89
65.9,300.09
65.95,300.29
66.0,300.49
66.05,300.69
66.1,300.89
66.15,301.1
66.2,301.31
66.25,301.52
66.3,301.73
66.35,301.95
66.4,302.16
66.45,302.38
66.5,302.6
66.55,302.82
66.6,303.05
66.65,303.27
66.7,303.48
66.75,303.68
66.8,303.87
66.85,304.05
66.9,304.23
66.95,304.42
67.0,304.61
67.05,304.8
67.1,304.97
67.15,305.15
67.2,305.33
67.25,305.52
67.3,305.71
67.35,305.92
67.4,306.15
67.45,306.39
67.5,306.65
67.55,306.91
67.6,307.19
67.65,307.49
67.7,307.8
67.75,308.14
67.8,308.5
67.85,309.27
67.9,309.53
67.95,309.76
68.0,310.0
68.05,310.24
68.1,310.49
68.15,310.73
68.2,310.98
68.25,311.23
68.3,311.49
68.35,311.75
68.4,312.0
68.45,312.26
68.5,312.51
68.55,312.76
68.6,313.01
68.65,313.25
68.7,313.48
68.75,313.7
68.8,313.92
68.85,314.12
68.9,314.31
68.95,314.49
69.0,314.65
69.05,314.8
69.1,314.95
69.15,315.24
69.2,315.61
69.25,315.99
69.3,316.27
69.35,316.43
69.4,316.57
69.45,316.71
69.5,316.86
69.55,317.04
69.6,317.25
