ATAR,Aggregate
31.45,148.15
31.5,148.37
31.55,148.58
31.6,148.8
31.65,149.02
31.7,149.24
31.75,149.45
31.8,149.67
31.85,149.89
31.9,150.1
31.95,150.32
32.0,150.54
32.05,150.76
32.1,150.97
32.15,151.19
32.2,151.41
32.25,151.62
32.3,151.84
32.35,152.06
32.4,152.27
32.45,152.49
32.5,152.71
32.55,152.93
32.6,153.14
32.65,153.36
32.7,153.58
32.75,153.79
32.8,154.01
32.85,154.23
32.9,154.44
32.95,154.66
33.0,154.88
33.05,155.09
33.1,155.31
33.15,155.53
33.2,155.74
33.25,155.96
33.3,156.18
33.35,156.39
33.4,156.61
33.45,156.83
33.5,157.04
33.55,157.26
33.6,157.48
33.65,157.69
33.7,157.91
33.75,158.13
33.8,158.34
33.85,158.56
33.9,158.78
33.95,158.99
34.0,159.21
34.05,159.43
34.1,159.64
34.15,159.86
34.2,160.07
34.25,160.29
34.3,160.51
34.35,160.72
34.4,160.94
34.45,161.16
34.5,161.37
34.55,161.59
34.6,161.8
34.65,162.02
34.7,162.24
34.75,162.45
34.8,162.67
34.85,162.89
34.9,163.1
34.95,163.32
35.0,163.53
35.05,163.75
35.1,163.97
35.15,164.18
35.2,164.4
35.25,164.61
35.3,164.83
35.35,165.04
35.4,165.26
35.45,165.48
35.5,165.69
35.55,165.91
35.6,166.12
35.65,166.34
35.7,166.56
35.75,166.77
35.8,166.99
35.85,167.2
35.9,167.42
35.95,167.63
36.0,167.85
36.05,168.07
36.1,168.28
36.15,168.5
36.2,168.71
36.25,168.93
36.3,169.15
36.35,169.36
36.4,169.58
36.45,169.79
36.5,170.01
36.55,170.22
36.6,170.44
36.65,170.66
36.7,170.87
36.75,171.09
36.8,171.3
36.85,171.52
36.9,171.74
36.95,171.95
37.0,172.17
37.05,172.38
37.1,172.6
37.15,172.82
37.2,173.03
37.25,173.25
37.3,173.46
37.35,173.68
37.4,173.9
37.45,174.11
37.5,174.33
37.55,174.54
37.6,174.76
37.65,174.98
37.7,175.19
37.75,175.41
37.8,175.62
37.85,175.84
37.9,176.06
37.95,176.27
38.0,176.49
38.05,176.71
38.1,176.92
38.15,177.14
38.2,177.35
38.25,177.57
38.3,177.79
38.35,178.0
38.4,178.22
38.45,178.44
38.5,178.65
38.55,178.87
38.6,179.09
38.65,179.3
38.7,179.52
38.75,179.74
38.8,179.96
38.85,180.18
38.9,180.39
38.95,180.61
39.0,180.83
39.05,181.05
39.1,181.27
39.15,181.49
39.2,181.71
39.25,181.92
39.3,182.14
