ATAR,Aggregate
37.5,199.57
37.55,199.72
37.6,199.88
37.65,200.03
37.7,200.19
37.75,200.35
37.8,200.5
37.85,200.66
37.9,200.82
37.95,200.97
38.0,201.13
38.05,201.29
38.1,201.44
38.15,201.6
38.2,201.76
38.25,201.91
38.3,202.07
38.35,202.23
38.4,202.38
38.45,202.54
38.5,202.7
38.55,202.85
38.6,203.01
38.65,203.17
38.7,203.32
38.75,203.48
38.8,203.64
38.85,203.79
38.9,203.95
38.95,204.11
39.0,204.26
39.05,204.42
39.1,204.58
39.15,204.73
39.2,204.89
39.25,205.05
39.3,205.2
39.35,205.36
39.4,205.52
39.45,205.67
39.5,205.83
39.55,205.98
39.6,206.14
39.65,206.3
39.7,206.45
39.75,206.61
39.8,206.77
39.85,206.93
39.9,207.08
39.95,207.24
40.0,207.4
40.05,207.55
40.1,207.71
40.15,207.87
40.2,208.02
40.25,208.18
40.3,208.34
40.35,208.49
40.4,208.65
40.45,208.81
40.5,208.96
40.55,209.12
40.6,209.28
40.65,209.43
40.7,209.59
40.75,209.75
40.8,209.91
40.85,210.06
40.9,210.22
40.95,210.38
41.0,210.53
41.05,210.69
41.1,210.85
41.15,211.01
41.2,211.16
41.25,211.32
41.3,211.48
41.35,211.63
41.4,211.79
41.45,211.95
41.5,212.11
41.55,212.26
41.6,212.42
41.65,212.58
41.7,212.73
41.75,212.89
41.8,213.05
41.85,213.21
41.9,213.36
41.95,213.52
42.0,213.68
42.05,213.83
42.1,213.99
42.15,214.15
42.2,214.31
42.25,214.46
42.3,214.62
42.35,214.78
42.4,214.93
42.45,215.09
42.5,215.25
42.55,215.41
42.6,215.56
42.65,215.72
42.7,215.88
42.75,216.03
42.8,216.19
42.85,216.35
42.9,216.51
42.95,216.66
43.0,216.82
43.05,216.98
43.1,217.13
43.15,217.29
43.2,217.45
43.25,217.6
43.3,217.76
43.35,217.92
43.4,218.08
43.45,218.23
43.5,218.39
43.55,218.55
43.6,218.71
43.65,218.86
43.7,219.02
43.75,219.18
43.8,219.33
43.85,219.49
43.9,219.65
43.95,219.81
44.0,219.96
44.05,220.12
44.1,220.28
44.15,220.43
44.2,220.59
44.25,220.75
44.3,220.91
44.35,221.06
44.4,221.22
44.45,221.38
44.5,221.53
44.55,221.69
44.6,221.85
44.65,222.01
44.7,222.16
44.75,222.32
44.8,222.48
44.85,222.64
44.9,222.8
44.95,222.95
45.0,223.11
45.05,223.27
45.1,223.43
45.15,223.59
45.2,223.75
45.25,223.91
45.3,224.07
45.35,224.23
45.4,224.38
45.45,224.54
45.5,224.7
45.55,224.86
45.6,225.02
45.65,225.18
45.7,225.34
45.75,225.5
45.8,225.66
45.85,225.81
45.9,225.97
45.95,226.13
46.0,226.29
46.05,226.45
46.1,226.61
46.15,226.77
46.2,226.93
46.25,227.09
46.3,227.25
46.35,227.41
46.4,227.57
46.45,227.73
46.5,227.89
46.55,228.05
46.6,228.21
46.65,228.37
46.7,228.53
46.75,228.69
46.8,228.84
46.85,229.0
46.9,229.16
46.95,229.32
47.0,229.48
47.05,229.64
47.1,229.8
47.15,229.96
47.2,230.12
47.25,230.28
47.3,230.44
47.35,230.6
47.4,230.76
47.45,230.92
47.5,231.09
47.55,231.25
47.6,231.41
47.65,231.57
47.7,231.73
47.75,231.9
47.8,232.06
47.85,232.23
47.9,232.39
47.95,232.56
48.0,232.72
48.05,232.88
48.1,233.05
48.15,233.21
48.2,233.37
48.25,233.53
48.3,233.69
48.35,233.85
48.4,234.01
48.45,234.18
48.5,234.34
48.55,234.5
48.6,234.66
48.65,234.82
48.7,234.98
48.75,235.15
48.8,235.31
48.85,235.47
48.9,235.63
48.95,235.8
49.0,235.96
49.05,236.12
49.1,236.28
49.15,236.45
49.2,236.61
49.25,236.78
49.3,236.94
49.35,237.1
49.4,237.27
49.45,237.43
49.5,237.6
49.55,237.76
49.6,237.93
49.65,238.09
49.7,238.26
49.75,238.42
49.8,238.59
49.85,238.76
49.9,238.92
49.95,239.09
50.0,239.25
50.05,239.42
50.1,239.59
50.15,239.75
50.2,239.92
50.25,240.08
50.3,240.25
50.35,240.42
50.4,240.59
50.45,240.75
50.5,240.92
50.55,241.09
50.6,241.25
50.65,241.42
50.7,241.59
50.75,241.76
50.8,241.93
50.85,242.09
50.9,242.26
50.95,242.43
51.0,242.6
51.05,242.77
51.1,242.94
51.15,243.11
51.2,243.28
51.25,243.45
51.3,243.62
51.35,243.79
51.4,243.96
51.45,244.13
51.5,244.3
51.55,244.47
51.6,244.64
51.65,244.81
51.7,244.98
51.75,245.15
51.8,245.32
51.85,245.49
51.9,245.67
51.95,245.84
52.0,246.01
52.05,246.18
52.1,246.35
52.15,246.52
52.2,246.69
52.25,246.87
52.3,247.04
52.35,247.21
52.4,247.38
52.45,247.55
52.5,247.73
52.55,247.9
52.6,248.07
52.65,248.25
52.7,248.42
52.75,248.59
52.8,248.76
52.85,248.94
52.9,249.11
52.95,249.29
53.0,249.46
53.05,249.64
53.1,249.81
53.15,249.98
53.2,250.16
53.25,250.34
53.3,250.51
53.35,250.69
53.4,250.86
53.45,251.04
53.5,251.21
53.55,251.39
53.6,251.57
53.65,251.74
53.7,251.92
53.75,252.1
53.8,252.27
53.85,252.45
53.9,252.63
53.95,252.8
54.0,252.98
54.05,253.16
54.1,253.33
54.15,253.51
54.2,253.69
54.25,253.87
54.3,254.05
54.35,254.22
54.4,254.4
54.45,254.58
54.5,254.76
54.55,254.94
54.6,255.12
54.65,255.3
54.7,255.48
54.75,255.66
54.8,255.84
54.85,256.02
54.9,256.2
54.95,256.38
55.0,256.56
55.05,256.74
55.1,256.92
55.15,257.1
55.2,257.29
55.25,257.47
55.3,257.65
55.35,257.83
55.4,258.02
55.45,258.2
55.5,258.39
55.55,258.57
55.6,258.75
55.65,258.94
55.7,259.12
55.75,259.3
55.8,259.48
55.85,259.67
55.9,259.85
55.95,260.04
56.0,260.23
56.05,260.41
56.1,260.6
56.15,260.79
56.2,260.98
56.25,261.16
56.3,261.35
56.35,261.54
56.4,261.73
56.45,261.92
56.5,262.11
56.55,262.3
56.6,262.48
56.65,262.67
56.7,262.86
56.75,263.05
56.8,263.24
56.85,263.43
56.9,263.62
56.95,263.81
57.0,264.0
57.05,264.19
57.1,264.38
57.15,264.58
57.2,264.77
57.25,264.96
57.3,265.15
57.35,265.34
57.4,265.53
57.45,265.72
57.5,265.91
57.55,266.1
57.6,266.29
57.65,266.48
57.7,266.67
57.75,266.86
57.8,267.05
57.85,267.24
57.9,267.43
57.95,267.62
58.0,267.81
58.05,268.01
58.1,268.2
58.15,268.4
58.2,268.59
58.25,268.79
58.3,268.99
58.35,269.19
58.4,269.39
58.45,269.59
58.5,269.8
58.55,270.0
58.6,270.21
58.65,270.42
58.7,270.62
58.75,270.81
58.8,271.01
58.85,271.2
58.9,271.39
58.95,271.58
59.0,271.77
59.05,271.97
59.1,272.16
59.15,272.36
59.2,272.56
59.25,272.76
59.3,272.97
59.35,273.19
59.4,273.41
59.45,273.63
59.5,273.83
59.55,274.03
59.6,274.23
59.65,274.43
59.7,274.63
59.75,274.84
59.8,275.04
59.85,275.24
59.9,275.44
59.95,275.64
60.0,275.85
60.05,276.05
60.1,276.25
60.15,276.46
60.2,276.66
60.25,276.87
60.3,277.07
60.35,277.28
60.4,277.49
60.45,277.7
60.5,277.91
60.55,278.13
60.6,278.34
60.65,278.56
60.7,278.77
60.75,278.98
60.8,279.19
60.85,279.4
60.9,279.6
60.95,279.8
61.0,280.01
61.05,280.21
61.1,280.42
61.15,280.64
61.2,280.86
61.25,281.07
61.3,281.29
61.35,281.51
61.4,281.72
61.45,281.93
61.5,282.13
61.55,282.32
61.6,282.53
61.65,282.74
61.7,282.96
61.75,283.18
61.8,283.4
61.85,283.62
61.9,283.83
61.95,284.05
62.0,284.25
62.05,284.46
62.1,284.67
62.15,284.88
62.2,285.1
62.25,285.32
62.3,285.52
62.35,285.73
62.4,285.95
62.45,286.18
62.5,286.41
62.55,286.63
62.6,286.82
62.65,287.03
62.7,287.24
62.75,287.46
62.8,287.68
62.85,287.9
62.9,288.12
62.95,288.34
63.0,288.56
63.05,288.79
63.1,289.01
63.15,289.23
63.2,289.44
63.25,289.65
63.3,289.88
63.35,290.11
63.4,290.33
63.45,290.54
63.5,290.75
63.55,290.97
63.6,291.19
63.65,291.41
63.7,291.63
63.75,291.85
63.8,292.07
63.85,292.3
63.9,292.52
63.95,292.74
64.0,292.96
64.05,293.18
64.1,293.41
64.15,293.63
64.2,293.85
64.25,294.07
64.3,294.29
64.35,294.51
64.4,294.74
64.45,294.96
64.5,295.18
64.55,295.4
64.6,295.62
64.65,295.85
64.7,296.07
64.75,296.3
64.8,296.53
64.85,296.76
64.9,296.99
64.95,297.22
65.0,297.46
65.05,297.68
65.1,297.91
65.15,298.13
65.2,298.34
65.25,298.55
65.3,298.75
65.35,298.97
65.4,299.19
65.45,299.41
65.5,299.64
65.55,299.87
65.6,300.1
65.65,300.34
65.7,300.57
65.75,300.81
65.8,301.05
65.85,301.29
65.9,301.51
65.95,301.72
66.0,301.94
66.05,302.16
66.1,302.39
66.15,302.61
66.2,302.85
66.25,303.08
66.3,303.31
66.35,303.55
66.4,303.78
66.45,304.02
66.5,304.25
66.55,304.49
66.6,304.72
66.65,304.95
66.7,305.17
66.75,305.4
66.8,305.61
66.85,305.82
66.9,306.05
66.95,306.29
